Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,leuctridae,per_cobble,0.4419,0.4201,-0.2238,0.4253,1.1143,1.0033,1378
Occupancy,nemouridae,per_cobble,0.16,0.452,-0.5539,0.1515,0.9113,1.0021,1500
Occupancy,perlidae,per_cobble,0.4555,0.3862,-0.1269,0.4293,1.1202,1.0009,1500
Occupancy,perlodidae,per_cobble,0.2895,0.5152,-0.5641,0.2957,1.1315,1.0092,1025
Occupancy,glossosomatidae,per_cobble,0.4247,0.5183,-0.3676,0.3972,1.289,1.0059,1251
Occupancy,goeridae,per_cobble,0.3536,0.5255,-0.5018,0.3469,1.2455,0.9997,1500
Occupancy,hydropsychidae,per_cobble,0.4936,0.3128,0.0066,0.4797,1.0314,1.0012,1500
Occupancy,hydroptilidae,per_cobble,-0.0057,0.4586,-0.7068,-0.0137,0.7296,1.0014,1196
Occupancy,lepidostomatidae,per_cobble,0.1031,0.3436,-0.4831,0.1183,0.6414,1.013,1217
Occupancy,limnephilidae,per_cobble,0.5238,0.312,0.0165,0.5237,1.0499,1.0174,1290
Occupancy,molannidae,per_cobble,0.1502,0.474,-0.6408,0.1627,0.9049,1.0024,1349
Occupancy,philopotamidae,per_cobble,0.8886,0.3543,0.3672,0.8464,1.528,1.0075,1244
Occupancy,polycentropodidae,per_cobble,0.7025,0.4254,0.0939,0.6604,1.4433,1.0006,1176
Occupancy,rhyacophilidae,per_cobble,0.488,0.4277,-0.16,0.4605,1.2375,1.0108,1345
Occupancy,uenoidae,per_cobble,0.2996,0.5042,-0.4806,0.2883,1.1443,1.0034,1500
Occupancy,midges,substrate_metric_total,0.5788,0.3078,0.0783,0.5684,1.0944,1.0087,1500
Occupancy,mole,substrate_metric_total,0.4114,0.4609,-0.3534,0.4198,1.145,1.0025,1500
Occupancy,mtdusky,substrate_metric_total,0.6611,0.4615,-0.079,0.64,1.4696,1.0014,1355
Occupancy,nodusky,substrate_metric_total,0.6443,0.3098,0.1616,0.6285,1.1493,1.0044,1417
Occupancy,twolined,substrate_metric_total,0.8123,0.2796,0.3795,0.8058,1.2716,1.0083,1380
Occupancy,longtail,substrate_metric_total,0.3989,0.4485,-0.3601,0.3922,1.1147,1.0031,1478
Occupancy,red,substrate_metric_total,0.5927,0.435,-0.072,0.5729,1.3369,1.0198,1166
Occupancy,redback,substrate_metric_total,0.2212,0.3668,-0.3635,0.2165,0.8262,1.0113,1338
Occupancy,blacknose_dace,substrate_metric_total,0.4973,0.4676,-0.2268,0.4968,1.2875,1.0106,1500
Occupancy,bluegill_sunfish,substrate_metric_total,0.4294,0.4414,-0.3067,0.4331,1.1355,1.0064,1267
Occupancy,creek_chub,substrate_metric_total,0.6994,0.4613,0.0155,0.6729,1.4624,1.0088,1500
Occupancy,johnny_darter,substrate_metric_total,0.4298,0.4594,-0.317,0.429,1.1596,1.0031,1117
Occupancy,sessile_animals,substrate_metric_total,0.5927,0.4731,-0.1469,0.5678,1.3877,1.01,1274
Occupancy,aquatic_worms,substrate_metric_total,0.4995,0.3135,0.0224,0.4784,1.0304,1.0038,1381
Occupancy,sow_bugs,substrate_metric_total,0.4595,0.3759,-0.1269,0.4515,1.0813,1.0013,1500
Occupancy,scuds,substrate_metric_total,0.4513,0.437,-0.2089,0.4305,1.2029,1.0016,923
Occupancy,water_mites,substrate_metric_total,0.4816,0.3628,-0.0848,0.4757,1.0935,1.0204,1279
Occupancy,damselfly_nymphs,substrate_metric_total,0.3556,0.3588,-0.2094,0.3472,0.9193,1.0061,1333
Occupancy,alderfly_larvae,substrate_metric_total,0.1489,0.3803,-0.4929,0.1666,0.7644,1.0074,1313
Occupancy,other_beetles,substrate_metric_total,-0.3172,0.4181,-0.9306,-0.3597,0.4759,1.0025,722
Occupancy,crayfish,substrate_metric_total,-0.0324,0.2237,-0.3981,-0.0288,0.3349,1.0038,1500
Occupancy,dragonfly_nymphs,substrate_metric_total,0.5931,0.3242,0.0902,0.5804,1.1323,1.0059,1500
Occupancy,riffle_beetles,substrate_metric_total,0.7306,0.3467,0.2087,0.7057,1.3302,0.9996,1309
Occupancy,other_flies,substrate_metric_total,0.4115,0.3545,-0.1539,0.4045,1.0019,1.0073,1500
Occupancy,snails,substrate_metric_total,0.5464,0.3412,0.0327,0.5283,1.1092,1.0011,1371
Occupancy,clams,substrate_metric_total,0.487,0.3879,-0.102,0.4713,1.1431,1.015,1119
Occupancy,fishfly_larvae,substrate_metric_total,0.1661,0.3091,-0.3364,0.1729,0.658,1.0038,1519
Occupancy,water_penny_beetles,substrate_metric_total,0.6547,0.3694,0.0925,0.64,1.2957,1.0089,1165
Occupancy,cranefly_larvae,substrate_metric_total,0.5138,0.4054,-0.0952,0.5016,1.2181,1.0087,1309
Occupancy,ameletidae,substrate_metric_total,0.21,0.4615,-0.5478,0.2328,0.9387,1.0082,1174
Occupancy,baetidae,substrate_metric_total,0.7172,0.297,0.2643,0.7066,1.2289,1.0071,1500
Occupancy,caenidae,substrate_metric_total,0.3393,0.4643,-0.3792,0.3252,1.1041,1.0004,1137
Occupancy,ephemerellidae,substrate_metric_total,0.3924,0.4412,-0.3136,0.3995,1.0901,1.0052,1069
Occupancy,ephemeridae,substrate_metric_total,0.3795,0.4379,-0.3367,0.3809,1.0932,1.0008,1075
Occupancy,heptageniidae,substrate_metric_total,0.3325,0.401,-0.3054,0.3273,0.9833,1.0407,1322
Occupancy,leptophlebiidae,substrate_metric_total,0.1642,0.2752,-0.2881,0.173,0.6106,1.0027,1500
Occupancy,capniidae,substrate_metric_total,0.4234,0.4703,-0.3158,0.4336,1.193,1.0224,1289
Occupancy,chloroperlidae,substrate_metric_total,0.2518,0.5009,-0.6315,0.2796,1.0532,0.9998,970
Occupancy,leuctridae,substrate_metric_total,0.6805,0.3807,0.0723,0.6746,1.3059,1.0002,1303
Occupancy,nemouridae,substrate_metric_total,0.559,0.3638,-0.0228,0.56,1.1708,1.0061,1167
Occupancy,perlidae,substrate_metric_total,0.3314,0.3305,-0.1965,0.3378,0.8723,1.0086,1374
Occupancy,perlodidae,substrate_metric_total,0.2467,0.476,-0.5338,0.2628,0.986,1.001,1194
Occupancy,glossosomatidae,substrate_metric_total,0.4836,0.4548,-0.2199,0.4806,1.2492,0.9993,1500
Occupancy,goeridae,substrate_metric_total,0.403,0.4816,-0.3975,0.4053,1.1473,1.0051,1374
Occupancy,hydropsychidae,substrate_metric_total,0.8223,0.3306,0.3078,0.8057,1.4098,1.0104,1486
Occupancy,hydroptilidae,substrate_metric_total,0.7355,0.437,0.0779,0.7008,1.4914,1.0039,985
