Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,lepidostomatidae,per_sand,1.2125,0.4382,0.5421,1.1925,1.9655,1.0081,980
Occupancy,limnephilidae,per_sand,1.2436,0.5123,0.4643,1.2005,2.1254,1.0465,938
Occupancy,molannidae,per_sand,0.4782,0.5859,-0.4103,0.4613,1.5348,1.0118,1282
Occupancy,odontoceridae,per_sand,0.4441,0.6283,-0.5105,0.4257,1.4183,1.003,1247
Occupancy,philopotamidae,per_sand,-0.1411,0.4099,-0.8067,-0.15,0.541,1.0048,1267
Occupancy,phryganeidae,per_sand,0.3764,0.609,-0.5845,0.3581,1.3845,1.0079,1449
Occupancy,polycentropodidae,per_sand,0.1464,0.5216,-0.6803,0.1255,1.0633,1.0054,1237
Occupancy,rhyacophilidae,per_sand,0.7887,0.5289,-0.0378,0.7755,1.667,1.0281,1128
Occupancy,uenoidae,per_sand,0.424,0.5112,-0.3905,0.4065,1.2974,1.0021,1500
Occupancy,other_flies,per_cobble,0.2445,0.4744,-0.4571,0.2238,1.0179,1.0065,1500
Occupancy,central_stoneroller_minnow,per_cobble,0.1842,0.5281,-0.6351,0.1656,1.0858,1.0116,1322
Occupancy,johnny_darter,per_cobble,0.1153,0.5296,-0.7376,0.1134,0.9579,1.0155,1279
Occupancy,mtdusky,per_cobble,0.1925,0.4496,-0.4428,0.1433,1.0186,1.0053,908
Occupancy,nodusky,per_cobble,0.1259,0.3992,-0.5028,0.1078,0.8083,1.0209,1365
Occupancy,twolined,per_cobble,0.6583,0.3923,0.1071,0.6095,1.3526,1.0087,1274
Occupancy,red,per_cobble,0.0515,0.4922,-0.7244,0.052,0.855,1.0092,1096
Occupancy,redback,per_cobble,0.0843,0.4236,-0.5508,0.0831,0.7758,1.0158,1544
Occupancy,slimy,per_cobble,-0.0156,0.5035,-0.8401,-0.0034,0.8024,1.0083,1321
Occupancy,blacknose_dace,per_cobble,0.1702,0.535,-0.6335,0.1536,1.1157,1.0094,1281
Occupancy,creek_chub,per_cobble,0.1024,0.5232,-0.7047,0.0823,0.9518,1.0034,1500
Occupancy,rainbow_darter,per_cobble,0.275,0.5527,-0.5354,0.2202,1.2341,1.0026,985
Occupancy,rainbow_trout,per_cobble,0.1642,0.5263,-0.7106,0.1608,1.0201,1.0023,1309
Occupancy,white_sucker,per_cobble,0.0093,0.5256,-0.828,0.0178,0.8572,0.9998,1191
Occupancy,aquatic_worms,per_cobble,0.3955,0.4128,-0.2352,0.3646,1.0897,0.9999,1500
Occupancy,sow_bugs,per_cobble,0.3854,0.4105,-0.1953,0.3425,1.0877,1.0071,1500
Occupancy,scuds,per_cobble,0.1479,0.4862,-0.5964,0.1246,0.979,1.001,1377
Occupancy,water_mites,per_cobble,0.5923,0.4624,-0.0526,0.5484,1.3998,1.0001,1252
Occupancy,damselfly_nymphs,per_cobble,0.1917,0.4006,-0.3519,0.1484,0.888,1.0035,1340
Occupancy,alderfly_larvae,per_cobble,-0.6302,0.4527,-1.3912,-0.6108,0.0868,1.0068,921
