Process,Taxon,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS
Occupancy,johnny_darter,pool_depth_.cm.,-0.0988,1.2225,-2.088,-0.0859,1.8559,1.0191,688
Occupancy,mtdusky,pool_depth_.cm.,-1.0985,0.7593,-2.3543,-1.0643,0.0167,1.0228,1171
Occupancy,nodusky,pool_depth_.cm.,-1.4974,0.7597,-2.783,-1.431,-0.5084,1.0122,893
Occupancy,twolined,pool_depth_.cm.,-0.983,0.3154,-1.5189,-0.9614,-0.5044,1.0038,1649
Occupancy,longtail,pool_depth_.cm.,-1.5092,0.9523,-3.1474,-1.4416,-0.1143,1.0042,973
Occupancy,red,pool_depth_.cm.,-1.0387,0.4937,-1.9237,-0.9981,-0.2797,1.0036,1500
Occupancy,redback,pool_depth_.cm.,-1.2179,0.5174,-2.0928,-1.1937,-0.4342,1.0039,1289
Occupancy,slimy,pool_depth_.cm.,-1.4279,0.9861,-3.1068,-1.3719,0.0236,1.0153,1089
Occupancy,blacknose_dace,pool_depth_.cm.,0.8289,0.9792,-0.5257,0.7308,2.576,1.0036,1010
Occupancy,central_stoneroller_minnow,pool_depth_.cm.,0.304,1.1236,-1.465,0.246,2.3027,1.0085,934
Occupancy,common_shiner,pool_depth_.cm.,0.9062,0.958,-0.561,0.8607,2.508,1.0108,830
Occupancy,creek_chub,pool_depth_.cm.,1.6258,0.8493,0.4532,1.5167,3.2056,1.0171,681
Occupancy,rainbow_darter,pool_depth_.cm.,0.781,1.0858,-0.9513,0.7536,2.6281,1.0026,1014
Occupancy,rainbow_trout,pool_depth_.cm.,-0.2043,1.1448,-1.9551,-0.2309,1.7949,1.0079,991
Occupancy,white_sucker,pool_depth_.cm.,0.0896,1.0641,-1.623,0.0757,1.8164,1.0077,884
Occupancy,yellow_bullhead_catfish,pool_depth_.cm.,-0.1956,1.0768,-1.8619,-0.2264,1.578,1.0038,613
Occupancy,sessile_animals,pool_depth_.cm.,-0.5638,1.1685,-2.386,-0.5699,1.4357,1.0118,638
Occupancy,aquatic_worms,pool_depth_.cm.,1.0729,0.7111,0.0198,1.0006,2.3335,1.0068,1311
Occupancy,sow_bugs,pool_depth_.cm.,1.0609,0.4563,0.3955,1.0223,1.8819,1.0038,1697
Occupancy,scuds,pool_depth_.cm.,0.9793,0.4864,0.2939,0.9261,1.8086,1.0083,1070
Occupancy,water_mites,pool_depth_.cm.,0.7213,0.8924,-0.5697,0.6398,2.3046,1.0059,1129
Occupancy,damselfly_nymphs,pool_depth_.cm.,1.9239,0.8047,0.8396,1.7899,3.367,1.0006,918
Occupancy,alderfly_larvae,pool_depth_.cm.,-0.1987,0.7668,-1.1899,-0.3321,1.3069,1.0026,1169
Occupancy,other_beetles,pool_depth_.cm.,-0.0567,0.83,-1.1693,-0.1958,1.5061,1.003,1193
Occupancy,crayfish,pool_depth_.cm.,-0.8457,0.3976,-1.4854,-0.836,-0.2442,1.0013,1500
Occupancy,dragonfly_nymphs,pool_depth_.cm.,0.3444,0.7132,-0.7008,0.2609,1.6927,1.002,1352
Occupancy,riffle_beetles,pool_depth_.cm.,1.2975,0.6099,0.432,1.2305,2.4345,1.0066,1281
Occupancy,other_flies,pool_depth_.cm.,0.6695,0.6713,-0.3278,0.621,1.8907,1.003,1250
Occupancy,snails,pool_depth_.cm.,1.7363,0.8057,0.6052,1.6595,3.2204,1.0079,676
Occupancy,clams,pool_depth_.cm.,0.7183,0.7719,-0.3698,0.6106,2.1838,1.0003,906
Occupancy,fishfly_larvae,pool_depth_.cm.,-0.7635,0.4253,-1.4552,-0.7504,-0.1186,1.0009,1500
Occupancy,water_penny_beetles,pool_depth_.cm.,0.0117,0.5674,-0.8282,-0.0356,0.9901,1.0017,1022
Occupancy,cranefly_larvae,pool_depth_.cm.,0.9192,0.6587,-0.0079,0.8522,2.1255,1.0021,1099
Occupancy,ameletidae,pool_depth_.cm.,0.8021,0.6199,-0.0678,0.7436,1.8908,1.0013,1389
Occupancy,baetidae,pool_depth_.cm.,0.1738,0.8272,-0.9538,0.0789,1.6646,1.0233,1236
Occupancy,caenidae,pool_depth_.cm.,0.5722,1.1934,-1.2617,0.5087,2.6067,1.0087,774
Occupancy,ephemeridae,pool_depth_.cm.,-0.036,1.1749,-1.8214,-0.0823,1.8511,1.0003,749
